N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
157,대우건설,"4,140",10,+0.24%,"5,000","17,207","415,623",12.82,"240,820",3.34,14.55,
158,현대위아,"62,300",800,+1.30%,"5,000","16,943","27,195",12.69,"28,448",-14.29,1.99,
159,삼양식품,"224,500","2,000",-0.88%,"5,000","16,912","7,533",12.10,"5,127",17.40,18.92,
161,한국앤컴퍼니,"17,570",140,+0.80%,500,"16,680","94,935",9.41,"588,637",15.32,4.37,
162,TIGER 미국테크TOP10 INDXX,"15,025",35,+0.23%,0,"16,610","110,550",0.73,"171,993",N/A,N/A,
164,HD현대인프라코어,"8,200",260,+3.27%,"1,000","16,367","199,603",16.34,"1,429,365",5.30,15.29,
167,종근당,"129,500",100,-0.08%,"2,500","16,276","12,568",11.66,"16,155",11.96,13.62,
168,한전KPS,"35,850",200,+0.56%,200,"16,132","45,000",9.44,"11,730",10.95,8.61,
169,TIGER 미국필라델피아반도체나스닥,"14,290",50,+0.35%,0,"15,983","111,850",0.68,"332,103",N/A,N/A,
170,에스엘,"34,350",300,+0.88%,500,"15,955","46,449",15.44,"39,855",5.86,9.87,
171,오뚜기,"398,000",0,0.00%,"5,000","15,951","4,008",9.44,760,5.33,16.53,
172,KBSTAR 머니마켓액티브,"51,335",5,+0.01%,0,"15,918","31,008",0.01,"4,029",N/A,N/A,
173,동원산업,"34,150",200,-0.58%,"1,000","15,874","46,483",1.61,"22,333",7.85,8.53,
174,효성중공업,"169,600",500,+0.30%,"5,000","15,814","9,325",10.92,"11,453",17.96,1.07,
175,두산,"94,500","2,100",+2.27%,"5,000","15,615","16,524",10.78,"41,916",-2.96,-36.00,
177,롯데정밀화학,"59,500",500,+0.85%,"5,000","15,351","25,800",20.88,"9,890",6.47,6.51,
178,TCC스틸,"58,100",500,-0.85%,"1,000","15,230","26,214",5.93,"59,943",-480.17,16.54,
179,TIGER TOP10,"11,560",140,+1.23%,0,"14,970","129,500",2.01,"32,681",N/A,N/A,
182,코스모화학,"37,950",350,-0.91%,"1,000","14,576","38,408",5.28,"117,571",-99.87,6.13,
183,효성,"67,900","1,200",+1.80%,"5,000","14,307","21,071",5.74,"14,573",-129.83,0.60,
185,에스디바이오센서,"11,420",130,+1.15%,500,"14,215","124,477",6.22,"80,537",-1.78,35.30,
186,KODEX 200선물인버스2X,"2,370",50,-2.07%,0,"14,206","599,400",0.61,"42,179,911",N/A,N/A,
188,SK가스,"153,400","3,400",-2.17%,"5,000","14,159","9,230",6.88,"2,727",3.34,11.53,
189,DL이앤씨,"36,400",200,+0.55%,"5,000","14,084","38,694",27.62,"16,302",6.76,9.70,
190,DGB금융지주,"8,260",80,+0.98%,"5,000","13,971","169,146",45.78,"97,253",3.23,7.38,
191,솔루엠,"27,900",100,-0.36%,500,"13,952","50,006",19.33,"62,122",11.69,16.93,
192,롯데칠성,"150,300","1,500",-0.99%,500,"13,946","9,279",11.06,"2,372",11.27,9.11,
196,TIGER 2차전지테마,"27,815",55,+0.20%,0,"13,379","48,100",0.66,"215,217",N/A,N/A,
197,GS건설,"15,630",130,+0.84%,"5,000","13,376","85,581",19.14,"76,028",-5.32,7.18,
200,KODEX Top5PlusTR,"19,745",210,+1.07%,0,"12,479","63,200",12.18,"4,035",N/A,N/A,
